explosao_fundopreto: .word 16, 16
.byte 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,
7,7,7,7,7,7,7,0,7,0,0,0,7,0,0,0,
31,31,31,94,86,31,7,7,7,7,7,7,0,0,0,0,
31,31,31,39,39,31,31,94,31,31,94,7,7,7,0,0,
119,119,119,119,119,111,47,47,47,47,39,31,94,7,7,0,
191,191,191,183,119,119,119,119,119,119,119,47,39,31,7,0,
191,191,191,191,191,119,119,119,119,119,119,47,39,31,7,0,
191,119,119,119,119,119,119,47,47,47,47,39,94,7,7,0,
119,119,110,111,47,39,39,39,39,31,31,94,7,7,0,0,
119,31,31,31,31,31,31,31,31,31,7,7,7,0,0,0,
31,31,31,31,7,7,7,7,7,7,7,0,0,0,7,0,
31,7,7,7,7,0,0,0,7,0,0,7,0,0,0,0,
7,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,


